Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary flower color,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Achanqayra,4,Indirect/Plant,Solanum tuberosum (Group Andigenum),Very scarce,Flattened round,Superficial,Light red-purple,Yellow,Scattered spots,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,3 pairs,1 pair,0.45 kg,16,Intermediate,3800 - 4000 msnm,Tolerant,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,in buds   ,"The pigmentation of the tubers of this variety has nuances similar to that of the flowers of the native begonia 'achanqayra' (Begonia veitchii), hence its name in Quechua. The shape of the tuber also resembles an apple, which is the reason for its name in Spanish. Planting this variety is commonly done in mixture or chaqru. The parboiled tuber has a medium watery texture and if consumed when it ages it is a little hard to chew.",,"Parboiled, stews, soups, fried, chuño",Long
Alelí,3,Indirect/Plant,Solanum tuberosum (Group Goniocalyx),Scarce ,Oblong-elongated ,Average,Intermediate yellow,Absent,Absent ,Cream ,Absent,Absent   ,Semi-erect,"Green, with many spots",Absent,4 pairs,2 pairs,1.20 kg,16,Intermediate,3400 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Pentagonal ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented stigma  ,White,Red,Few stains throughout,"It is a very scarce variety, not all farmers in the microcenter grow it. It is only planted in chaqru, it has a little floury texture.",,"Parboiled, chuño soup, pachamanca, puree",Short
Allqa Bayo Botas,2,Indirect/Object,Solanum tuberosum (Group Andigenum),Common ,Compressed ,Average,light yellow,Red,Scattered spots,Cream ,Absent,Absent   ,Decumbent,Green   ,Wavy,3 pairs,1 pair,0.86 kg,7,Intermediate,3800 - 4200 msnm,Susceptible,Resistant,"Green, with few spots ",Green      ,Moderate,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"It is a variety that when planted in the high parts when parboiled has a watery texture; On the other hand, when planted in the middle areas it has a semi-floury texture and pleasant flavor.",,"Parboiled, pachamanca, broth, puree",Short
Allqa Cordovina,1,Direct/Origin,Solanum tuberosum (Group Andigenum),Scarce ,Compressed ,Average,Medium brown,Red,Splattered stains,light yellow,Red,Vascular ring and medulla,Decumbent,"Green, with few spots",Wavy,5 pairs,4 pairs,0.98 kg,21,Intermediate,3900 - 4200 msnm,Susceptible,Resistant,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"It is a very rustic variety and is considered “old potato” or “grandfather's potato”. If it is parboiled recently harvested, it is watery and very sweet after being stored for a long time.",,"Parboiled, soup, chuño",Intermediate
Allqa Culebra,8,Indirect/Animal,Solanum tuberosum (Group Andigenum),Very scarce,elongated fusiform,Superficial,light brown,Red,Scattered spots,Cream ,Red,Wide vascular ring ,Decumbent,"Pigmented, with abundant green",Straight,4 pairs,2 pairs,0.65 kg,13,Intermediate,3900 - 4000 msnm,Susceptible,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"Due to its shape, it is a difficult variety to market because it breaks during harvest and/or transportation, and when processing it into chuño. Its consumption is generally local. According to farmers, it counteracts liver and kidney problems. It is a scarce variety that is only planted in chaqru. It has a semi-floury texture, a rubbery consistency and is watery. The grandparents said: “we have to roast this potato on charcoal for our children and grandchildren.”",Health Benefits and Family consumption,Chuño and soup,Prolonged
Allqa Ipillu,3,Indirect/Animal,Solanum tuberosum (Group Andigenum),Very scarce,"Elongated, falcate",Superficial,light brown,Blackish,Scattered spots,Cream ,Purple,Vascular ring and medulla,Decumbent,"Pigmented, with abundant green",Straight,5 pairs,2 pairs,1.04 kg,21,Intermediate,4000 - 4200 msnm,Tolerant,Tolerant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - underside    ,Apex pigmented spot  ,Pigmented inner ovary wall,Violet,White,in buds   ,"This variety has very elongated tubers that break easily during harvest or transport. According to the farmers, to sow it, you put the seed and make a turn with the tool to prevent the tubers from coming out long. They also indicate that it should be planted separately, and not in chaqru, because it scares other native varieties (miyun, qayqarun, tuta chiqchiyan).",Personhood (Scares other varities),"Chuño, soup, llinka potato stew (crushed)",Intermediate
Allqa Kallwa,3,Indirect/Object,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated ,Superficial,Intense red-purple,Brown,Splattered stains,Cream ,Absent,Absent   ,Semi-erect,Green   ,Straight,5 pairs,3 pairs,0.51 kg,11,Intermediate,3900 - 4300 msnm,Susceptible,Resistant,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Scarce,Pentagonal ,light purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Without anthocyanins  ,Red,White,in buds   ,"It is only planted in chaqru, it is a scarce variety that few farmers have. It has a semi-floury texture, with a rubbery consistency, but it has a pleasant flavor.",,"Parboiled, chuño, soup, pachamanca",Long
Allqa Qesqes,3,Indirect/Animal,Solanum tuberosum (Group Andigenum),Scarce ,Obovate ,Average,Intermediate yellow,Red-purple,Scattered spots,light yellow,Red,Few stains  ,Decumbent,"Green, with many spots",Straight,6 pairs,2 pairs,0.72 kg,40,Intermediate,3400 - 3800 msnm,Susceptible,Resistant,Purple    ,Fully pigmented     ,Moderate,Rotated ,light purple,Absent,Absent      ,Pigmented bands and apex ,Without anthocyanins  ,Red,White,in buds   ,"It is a variety that is only planted in chaqru. It is scarce, few farmers plant it. This variety is rich and floury. Until recently, these chips were bartered with other products that were not produced in the area.",Barter,"Parboiled, chuño, soup, puree",Intermediate
Allqa Walash,7,Indirect/Person,Solanum tuberosum (Group Chaucha),Abundant ,Oblong ,Superficial,Red-purple ,Brown,Scattered spots,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,3 pairs,0.51 kg,12,Intermediate,3800 - 4400 msnm,Tolerant,Resistant,"Pigmented, with little green ",Fully pigmented     ,Scarce,Rotated ,Intermediate purple,White,acumen underside     ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"This variety owes its name to the festival called walash, which derives from waylas. Farmers say that when the harvest began and the potatoes were left in piles in the fields, they organized the party side by side (pampa ticray) and the walash won the competition over all the other potatoes because they were the nicest. The party took place at night. It has to be parboiled with salt so that it does not burst. But when it ages it parboils normally.",Festivities,"Parboiled, fried, pachamanca, chuño, puree",Short
Allqa Wawa,0,Indirect/Person,Solanum tuberosum (Group Stenotomum),Infrequent,Oblong-elongated ,Average,Intermediate orange,Absent,Absent ,Yellow ,Absent,Absent   ,Decumbent,Green   ,Wavy,3 pairs,2 pairs,0.24 kg,8,Intermediate,3800 - 4300 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,This variety is floury and that is why it has a lot of acceptance and preference among farmers. It is used to barter with other products that are not found in the area.,Barter,"Parboiled, pachamanca, chuño",Short
