Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Dry matter (%),Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary color of the flower,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Berry color,Berry shape,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Sabatista,2,Indirect/Person,Solanum tuberosum (Group: Chaucha),Common,Oblong,Medium,Pale purple,Medium yellow,Like glasses,White,Absent,Absent,Semi-erect,Green with few spots,Straight,3 pairs,2 pairs,24.05 31.01,0.78 - 1.00,17 - 21,Intermediate,3500 - 4100,Resistant,Intermediate,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Intense violet,Absent,Absent,Pigmented spot on apex,No anthocyanins,Purple,White,In buds,Green with pigmented areas,Ovoid,"The farmers gave it this name because the seed was supposedly provided by a man who was a member of the Sabbatarian religious sect. When the tuber is parboiled, the skin breaks away from the pulp and presents a floury pulp texture. It has a tasty flavor if eaten immediately after cooking, but if stored it becomes vinegary.",Religious Influence,"Parboiled, soup, chuno, dry potato",Slow
Chaleca,4,Indirect/Object,Solanum tuberosum (Group: Andigenum),Scarse,Flattened obovate,Superficial,Pale yellow,Intense purple,Scattered spots,White,Purple,Narrow vascular ring,Semi-erect,Pigmented with abundant green,Straight,3 pairs,1 pair,22.16 28.11,0.50 - 1.63,5 - 68,Late,3400 - 3700,Susceptible,Susceptible,Green with few spots,Pigmented below joint,Moderate,Rotated,Intense purple,Absent,Absent,Pigmented spot on apex,No anthocyanins,Purple,White,Many stains throughout,Green with abundant white dots,Globose,"It is called a Chaleca (vest) because the colors of the tuber are similar to a vest. And Dominica, due to its similarity with a bird from the area (Phalcoboenus megalopterus). It’s cultivated in a mixture for family consumption. It is very susceptible to blight attack: “it is too weak for blight and it rots on the plant itself”, say the producers. In high areas it becomes a bit bitter. It’s eaten peeled because due to its superficial eyes it is easy to peel. Its texture is neither very floury nor watery.",Family consumption,"Parboiled, peeled, soup, dry potato",Slow
Pana,1,Indirect/Food,Solanum tuberosum (Group: Andigenum),Abundant,Flattened round,Superficial,Intense yellow,"Red, pale purple",In eyes,White,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,2 pairs,25.28 30.09,2.20 - 3.10,25 - 80,Intermediate,3800 - 4100,Susceptible,Resistant,Pigmented with little green,Fully pigmented,Moderate,Pentagonal,Medium lilac,Absent,Absent,No anthocyanins,No anthocyanins,White,Pink,Many stains throughout,Green with few white dots,Globose,"The name of Pana derives from the similar shape to the bread (pan) that they prepare in the area. It is a very old variety and is grown in a mixture. Of tasty flavor, it sticks to the teeth when eaten. Due to its shape and superficial eyes it is easy to peel, it is characterized by being resistant to worms (Premnotrypes spp).",,"Parboiled, peeled, soup, chuno",Intermediate
Pariborrego,0,No information,Solanum tuberosum (Group: Andigenum),Scarse,Flattened round,Medium,Pale yellow,Pale purple,Scattered spots,Yellow,Absent,Absent,Decumbent,Pigmented with little green,Jagged,3 pairs,2 pairs,24.36 29.41,1.60 - 1.85,125 - 183,Intermediate,3500 - 3800,Susceptible,Resistant,Green with abundant spots,Fully pigmented,Moderate,Pentagonal,Medium violet,White,Acumen - back,No anthocyanins,No anthocyanins,White,Purple,At base,Green with pigmented areas,Globose,"It is characterized by producing small tubers in large quantities, which is why it is generally used to prepare chuno. When parboiled, its skin detaches from the pulp, its texture is mealy and its flavor tasty.",,"Parboiled, chuno",Intermediate
Agracha Rupa,2,No information,Solanum tuberosum (Group: Andigenum),Scarse,Round,Superficial,Intense purple,"White, pale cream",Scattered spots,Cream,Absent,Absent,Semi-erect,Pigmented with little green,Curly,4 pairs,2 pairs,22.57 25.81,1.18 - 2.00,36 - 53,Intermediate,3500 - 4100,Susceptible,Resistant,Green with abundant spots,Fully pigmented,Moderate,Rotated,Medium violet,White,Acumen - back,Pigmented spot on apex,No anthocyanins,Purple,White,At apex,Green with few white dots,Ovoid,"The origin of the name Agracha Rupa is unknown. The synonym of Harta Familia (Lots of Family) is due to the fact that it produces enough tubers that are enough for the whole family, it is a very old variety, and due to its superficial eyes it can be peeled and eaten in stews. When parboiled, the skin breaks. It has a floury texture and its flavor is tasty.",,"Parboiled, peeled, stews",Slow
Alisa,0,No information,Solanum tuberosum (Group: Andigenum),Scarse,Oblong,Medium,"Red, intense purple",Absent,Absent,Cream,Red,Scattered areas,Semi-erect,Green with few spots,Straight,3 pairs,1 pair,20.85 23.88,1.06 - 2.20,19 - 31,Intermediate,3500 - 3800,Susceptible,Susceptible,Green with abundant spots,Fully pigmented,Moderate,Rotated,Pale purple,Absent,Absent,No anthocyanins,No anthocyanins,Red,White,At apex,Green with pigmented areas,Globose,"This variety is consumed immediately after the harvest, since if it is stored, it becomes bitter and cannot be consumed. Sometimes the tubers also rot on the plant itself, which is why it is not widely cultivated within the community. It is not used to prepare chuno since it has a sour (acid) flavor, when boiled the shell breaks, but it has a semi- watery texture.",,"Parboiled, peeled, dry potato",Slow
Almidona,2,Direct/Flavor,Solanum tuberosum (Group: Goniocalyx),Common,"Oblong, elongated concertina",Deep,Pale brown,"Red, intense purple",Splattered spots,White,Absent,Absent,Straight,Green with few spots,Jagged,4 pairs,2 pairs,35.72 36.60,1.20 - 1.7,38 - 39,Intermediate,3500 - 3800,Resistant,Intermediate,Green with few spots,Slightly pigmented along length and at joint,Moderate,Very rotated,Medium purple,Absent,Absent,No anthocyanins,No anthocyanins,Violet,Absent,Absent,Green with pigmented bands,Globose,"Its name is due to the high dry matter content of the variety. She is also called Miss for small protruding structures and eyebrow spots, resembling a lady’s curled eyelashes and painted eyebrows. Due to the depth of its eyes, it is difficult to peel it. When parboiled, the shell breaks. It is very starchy in texture.",,"Parboiled, soup, chuno",Fast
Anchoveta,2,Indirect/Animal,Solanum tuberosum (Group: Andigenum),Scarse,Flattened obovate,Superficial,Intense blackish,Absent,Absent,Cream,Purple,Few spots,Decumbent,Purple,Jagged,3 pairs,1 pair,24.43 27.40,1.90 - 2.45,37 - 68,Intermediate,3500 - 4100,Susceptible,Resistant,Purple,Fully pigmented,Moderate,Pentagonal,Medium violet,White,Acumen - both,No anthocyanins,Pigmentation on inner wall ovary,Purple,White,At apex,Green with pigmented areas,Ovoid,"Its name derives from the shape of the tuber, similar to the shape of an anchovy (Engraulis ringens), it is also known as Garbanzo (chickpea) because of its resemblance to the shape of the chickpea pod (Cicer arietinum), or Chaleca Negra, for a bird from the area that has that name. Due to its shallow eyes, it is easy to peel and cook. When parboiled, its skin separates from the pulp. Its taste is very rich. It has a floury texture that generates a very thick soup.",,"Parboiled, soup",Fast
Antaquera,0,No information,Solanum tuberosum (Group: Goniocalyx),Abundant,Compressed,Deep,"Red, medium purple",Absent,Absent,Yellow,Red,Narrow vascular ring,Semi-erect,Green with many spots,Straight,4 pairs,1 pair,23.79 27.70,1.73 - 2.00,28 - 63,Intermediate,3400 - 4100,Resistant,Resistant,Purple,Pigmented over joint,Moderate,Very rotated,Pale purple,White,Few blemishes or spots,Pigmented bands,Pigmentation on inner wall ovary,Red,White,In buds,Green,Ovoid,"According to the community members, it is a very old variety, susceptible to the andean worm or weevil (Premnotrypes sp.). When parboiled, the skin is detached from the pulp. It is floury in texture and has a tasty flavor.",,"Parboiled, chuno, dry potato",Intermediate
Carcelina Colorada,4,Direct/Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Oblong,Deep,"Red, medium purple",Absent,Absent,White,Red,Few spots,Decumbent,Pigmented with little green,Jagged,3 pairs,1 pair,25.74 32.18,1.00 - 2.33,63 - 131,Intermediate,3500 - 3800,Intermediate,Intermediate,Pigmented with little green,Fully pigmented,Moderate,Pentagonal,Medium purple,White,Few blemishes or spots,No anthocyanins,Pigmentation on inner wall ovary,Pink,White,At apex,Green,Ovoid,"Its name comes from its reddish color and because in the past it was the most used by community members to take it to relatives or friends who were serving a prison sentence, since it does not lose its flavor characteristics over time. It is characterized by producing a large number of tubers per plant, but its yield is not constant, some years it produces very well and others it decreases a lot. When parboiled, its skin breaks, or as the ladies say: it “cooks like a blooming flower”, its texture is floury and its flavor is very tasty.",Gift,"Parboiled, chuno, dry potato",Fast
